primary_label,secondary_labels,type,latitude,longitude,scientific_name,common_name,author,license,rating,url,filename
grccra1,[],['flight call'],-31.0709,28.5167,Balearica regulorum,Gray Crowned-Crane,Lynette Rudman,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,2.5,https://www.xeno-canto.org/340923,grccra1/XC340923.ogg
helgui,[],['uncertain'],-24.3834,30.9334,Numida meleagris,Helmeted Guineafowl,Derek Solomon,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,https://www.xeno-canto.org/619693,helgui/XC619693.ogg
blksaw1,[],['call'],-8.5004,35.9066,Psalidoprocne pristoptera,Black Sawwing,Louis A. Hansen,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.0,https://www.xeno-canto.org/517359,blksaw1/XC517359.ogg
vibsta2,['combul2'],['song'],-15.477,28.4237,Cinnyricinclus leucogaster,Violet-backed Starling,Rory Nefdt,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,1.5,https://www.xeno-canto.org/209356,vibsta2/XC209356.ogg
grecor,[],['call'],51.4213,5.4732,Phalacrocorax carbo,Great Cormorant,Jorge Leitão,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,http://xeno-canto.org/678797,grecor/XC678797.ogg
tacsun1,[],"['adult', 'call', 'sex uncertain']",9.0134,38.761,Nectarinia tacazze,Tacazze Sunbird,Barry Edmonston,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/529939,tacsun1/XC529939.ogg
grwpyt1,[],"['call', 'female']",-2.9858,37.5975,Pytilia melba,Green-winged Pytilia,isaac kilusu,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.0,https://www.xeno-canto.org/581922,grwpyt1/XC581922.ogg
spepig1,['reedov1'],"['adult', 'call', 'male']",-26.8245,26.6516,Columba guinea,Speckled Pigeon,Tony Archer,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.5,https://www.xeno-canto.org/529796,spepig1/XC529796.ogg
vibsta2,[],[''],11.0682,-12.5759,Cinnyricinclus leucogaster,Violet-backed Starling,Paul Lenrumé,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://xeno-canto.org/728214,vibsta2/XC728214.ogg
gyhneg1,[],['song'],5.387,-4.0533,Nigrita canicapillus,Gray-headed Nigrita,Étienne Leroy,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/343720,gyhneg1/XC343720.ogg
whrshr1,[],['call'],-2.8324,34.9984,Eurocephalus ruppelli,White-rumped Shrike,Bernard BOUSQUET,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/424727,whrshr1/XC424727.ogg
lotcor1,"['blakit1', 'categr', 'grbcam1']",['call'],14.7279,-17.4329,Microcarbo africanus,Long-tailed Cormorant,Bram Piot,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.5,https://www.xeno-canto.org/317237,lotcor1/XC317237.ogg
brican1,[],['song'],-33.6505,26.2026,Crithagra sulphurata,Brimstone Canary,Lynette Rudman,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/489303,brican1/XC489303.ogg
beasun2,"['combul2', 'gbesta1']","['male', 'song']",15.865,-16.5121,Cinnyris pulchellus,Beautiful Sunbird,Bram Piot,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,2.5,https://www.xeno-canto.org/234643,beasun2/XC234643.ogg
palpri1,[],"['call', 'song']",5.2013,40.0589,Prinia somalica,Pale Prinia,Andrew Spencer,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/268497,palpri1/XC268497.ogg
whbwhe3,[],['song'],-1.407,36.876,Zosterops flavilateralis,Pale White-eye,Stein Ø. Nilsen,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,3.0,https://www.xeno-canto.org/129133,whbwhe3/XC129133.ogg
chibat1,[],['call'],-1.248,36.791,Batis molitor,Chinspot Batis,Rolf A. de By,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.0,https://www.xeno-canto.org/470583,chibat1/XC470583.ogg
somgre1,[],"['sex uncertain', 'song']",-34.3509,18.9259,Andropadus importunus,Sombre Greenbul,Jorge de Leon Cardozo & Susan Hochgraf,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/524800,somgre1/XC524800.ogg
afdfly1,[],['song'],-23.8301,29.9961,Muscicapa adusta,African Dusky Flycatcher,Raphaël Nussbaumer,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,0.0,https://www.xeno-canto.org/460556,afdfly1/XC460556.ogg
abhori1,[],"['adult', 'sex uncertain', 'song']",-33.1866,26.4167,Oriolus larvatus,African Black-headed Oriole,Lynette Rudman,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/533571,abhori1/XC533571.ogg
supsta1,['reccor'],['call'],-4.0715,36.0939,Lamprotornis superbus,Superb Starling,Bernard BOUSQUET,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,2.5,https://www.xeno-canto.org/608352,supsta1/XC608352.ogg
scthon1,[],"['adult', 'call', 'sex uncertain']",7.6634,38.7049,Indicator variegatus,Scaly-throated Honeyguide,Barry Edmonston,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/532751,scthon1/XC532751.ogg
abethr1,[],"['adult', 'sex uncertain', 'song']",-2.9858,37.5975,Turdus tephronotus,African Bare-eyed Thrush,isaac kilusu,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/616997,abethr1/XC616997.ogg
blfbus1,['wbrcha2'],"['Song in form of duet', 'song']",-20.0279,32.9901,Telophorus nigrifrons,Black-fronted Bushshrike,Rick Nuttall,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,2.5,https://www.xeno-canto.org/461386,blfbus1/XC461386.ogg
bawhor2,[],['call'],0.438,30.374,Bycanistes subcylindricus,Black-and-white-casqued Hornbill,Hans Groot,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4.0,https://www.xeno-canto.org/157022,bawhor2/XC157022.ogg
afrgrp1,[],['song'],5.7492,-4.1818,Treron calvus,African Green-Pigeon,Étienne Leroy,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,https://www.xeno-canto.org/522268,afrgrp1/XC522268.ogg
whbtit5,"['grbcam1', 'gryapa1']",['song'],3.8104,32.9224,Melaniparus albiventris,White-bellied Tit,Josh Engel,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,https://www.xeno-canto.org/352936,whbtit5/XC352936.ogg
ratcis1,['varsun2'],['song'],-1.3164,36.7101,Cisticola chiniana,Rattling Cisticola,Meena Haribal,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.5,https://www.xeno-canto.org/605852,ratcis1/XC605852.ogg
rostur1,[],['call'],-10.7644,25.6804,Musophaga rossae,Ross's Turaco,Robert Davis,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/393727,rostur1/XC393727.ogg
grwpyt1,[],['call'],-15.9259,29.0292,Pytilia melba,Green-winged Pytilia,Rory Nefdt,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/398962,grwpyt1/XC398962.ogg
whbtit5,[],['call'],-2.9858,37.5975,Melaniparus albiventris,White-bellied Tit,isaac kilusu,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/591582,whbtit5/XC591582.ogg
crefra2,[],"['adult', 'call', 'sex uncertain']",-0.5283,31.0002,Ortygornis sephaena,Crested Francolin,Niall Perrins,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.0,http://xeno-canto.org/667443,crefra2/XC667443.ogg
gryapa1,[],['song'],-0.989,29.616,Apalis cinerea,Gray Apalis,Bram Vogels,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/430677,gryapa1/XC430677.ogg
vimwea1,[],['begging call'],15.8874,-16.4867,Ploceus vitellinus,Vitelline Masked-Weaver,Bram Piot,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/297597,vimwea1/XC297597.ogg
whbcro2,[],[''],-0.384,36.7835,Sylvietta leucophrys,White-browed Crombec,James Bradley,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://xeno-canto.org/744745,whbcro2/XC744745.ogg
soufis1,[],['call'],-30.8994,24.6276,Lanius collaris,Southern Fiscal,Derek Solomon,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,https://www.xeno-canto.org/602600,soufis1/XC602600.ogg
blakit1,[],"['call', 'juvenile']",,,Milvus migrans,Black Kite,Anon Torimi,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.5,https://www.xeno-canto.org/566222,blakit1/XC566222.ogg
bawman1,[],['call'],6.388,-10.565,Spermestes bicolor,Black-and-white Mannikin,Bram Piot,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/413941,bawman1/XC413941.ogg
bkctch1,[],['song'],-0.53,31.0,Tchagra senegalus,Black-crowned Tchagra,Rolf A. de By,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.0,https://www.xeno-canto.org/282024,bkctch1/XC282024.ogg
supsta1,[],['song'],-2.3548,34.8442,Lamprotornis superbus,Superb Starling,Bernard BOUSQUET,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/438050,supsta1/XC438050.ogg
afrthr1,[],['song'],6.1782,-10.4846,Turdus pelios,African Thrush,Bram Piot,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.0,https://www.xeno-canto.org/252971,afrthr1/XC252971.ogg
brctch1,['wbrcha2'],['song'],-0.055,30.083,Tchagra australis,Brown-crowned Tchagra,Magnus Wadstein,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,2.5,https://www.xeno-canto.org/610859,brctch1/XC610859.ogg
crheag1,[],"['call', 'juvenile']",-6.88,36.56,Stephanoaetus coronatus,Crowned Eagle,Louis A. Hansen,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/514289,crheag1/XC514289.ogg
supsta1,[],"['adult', 'song']",-2.9858,37.5975,Lamprotornis superbus,Superb Starling,isaac kilusu,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/599476,supsta1/XC599476.ogg
walsta1,[],['call'],-8.4935,35.9031,Onychognathus walleri,Waller's Starling,Louis A. Hansen,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.0,https://www.xeno-canto.org/516866,walsta1/XC516866.ogg
chtapa3,[],[''],-1.3644,29.6118,Apalis porphyrolaema,Chestnut-throated Apalis,András Schmidt,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.0,https://xeno-canto.org/703424,chtapa3/XC703424.ogg
bcbeat1,[],['call'],30.3845,48.5115,Merops persicus,Blue-cheeked Bee-eater,Patrik Åberg,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/406079,bcbeat1/XC406079.ogg
cabgre1,[],"['female', 'male', 'song']",-0.6143,34.0906,Phyllastrephus cabanisi,Cabanis's Greenbul,James Bradley,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/289459,cabgre1/XC289459.ogg
darter3,['egygoo'],['call'],-33.6027,26.8904,Anhinga rufa,African Darter,Lynette Rudman,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,2.5,https://www.xeno-canto.org/326716,darter3/XC326716.ogg
carwoo1,"['carcha1', 'gyhbus1']",['drumming'],-33.2944,26.5111,Chloropicus fuscescens,Cardinal Woodpecker,Lynette Rudman,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,1.5,https://www.xeno-canto.org/319335,carwoo1/XC319335.ogg
gargan,[],['male'],46.98,7.038,Spatula querquedula,Garganey,Jerome Fischer,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.0,https://www.xeno-canto.org/632094,gargan/XC632094.ogg
spewea1,[],['call'],-0.6143,34.0906,Ploceus ocularis,Spectacled Weaver,James Bradley,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.0,https://www.xeno-canto.org/291336,spewea1/XC291336.ogg
yebapa1,[],"['calls', 'first 14 s natural']",13.3951,-16.6462,Apalis flavida,Yellow-breasted Apalis,Ole Jakobsen and Niels Krabbe,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4.0,https://www.xeno-canto.org/34011,yebapa1/XC34011.ogg
litswi1,['tafpri1'],['call'],-6.7832,39.2033,Apus affinis,Little Swift,Louis A. Hansen,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,https://www.xeno-canto.org/443705,litswi1/XC443705.ogg
afrjac1,[],['call'],-8.1871,36.6653,Actophilornis africanus,African Jacana,Louis A. Hansen,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.0,https://www.xeno-canto.org/515876,afrjac1/XC515876.ogg
combul2,[],"['male', 'song']",32.7617,-8.9017,Pycnonotus barbatus,Common Bulbul,José Carlos Sires,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/379550,combul2/XC379550.ogg
abythr1,[],['call'],-1.24,36.787,Turdus abyssinicus,Abyssinian Thrush,James Bradley,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/205444,abythr1/XC205444.ogg
lawgol,[],['song'],34.0475,-117.2076,Spinus lawrencei,Lawrence's Goldfinch,Lauren Harter,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4.0,https://www.xeno-canto.org/133955,lawgol/XC133955.ogg
whhsaw1,[],['flight call'],2.21,31.562,Psalidoprocne albiceps,White-headed Sawwing,Martin St-Michel,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/289267,whhsaw1/XC289267.ogg
blbpuf2,[],['song'],-2.9858,37.5975,Dryoscopus cubla,Black-backed Puffback,isaac kilusu,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/587611,blbpuf2/XC587611.ogg
equaka1,[],['song or alarm call?'],-1.0516,29.7783,Sheppardia aequatorialis,Equatorial Akalat,Magnus Wadstein,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/541555,equaka1/XC541555.ogg
hunsun2,[],['call'],4.864,39.312,Chalcomitra hunteri,Hunter's Sunbird,Andrew Spencer,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/210025,hunsun2/XC210025.ogg
btweye2,[],"['adult', 'call', 'sex uncertain']",7.1258,3.3642,Platysteira cyanea,Brown-throated Wattle-eye,Oluwadamilare AJAYI,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/505425,btweye2/XC505425.ogg
crheag1,[],[''],-0.3779,37.3097,Stephanoaetus coronatus,Crowned Eagle,Lars Lachmann,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,2.0,https://xeno-canto.org/756794,crheag1/XC756794.ogg
whihel1,[],"['alarm call', 'song']",10.9537,-4.8833,Prionops plumatus,White Helmetshrike,Étienne Leroy,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/390752,whihel1/XC390752.ogg
gyhspa1,['combul2'],['song'],3.8729,11.5204,Passer griseus,Northern Gray-headed Sparrow,Bram Piot,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.5,https://www.xeno-canto.org/193671,gyhspa1/XC193671.ogg
gargan,[],"['female', 'flight call', 'male']",45.9954,43.5608,Spatula querquedula,Garganey,Albert Lastukhin,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.0,https://www.xeno-canto.org/365756,gargan/XC365756.ogg
blakit1,[],"['adult', 'call', 'sex uncertain']",45.7896,4.9776,Milvus migrans,Black Kite,Manceau Lionel,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/628625,blakit1/XC628625.ogg
blbpuf2,['combul2'],"['adult', 'call', 'sex uncertain']",-20.2548,30.9998,Dryoscopus cubla,Black-backed Puffback,Lynette Rudman,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,2.5,https://www.xeno-canto.org/524295,blbpuf2/XC524295.ogg
helgui,[],['call'],-33.9352,18.7465,Numida meleagris,Helmeted Guineafowl,Liana Isabel,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,2.0,https://www.xeno-canto.org/326155,helgui/XC326155.ogg
thrnig1,[],['song'],59.34,17.1939,Luscinia luscinia,Thrush Nightingale,Petter Kappel,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,0.0,https://www.xeno-canto.org/484185,thrnig1/XC484185.ogg
gobbun1,[],"['male', 'song']",0.9235,30.236,Emberiza flaviventris,Golden-breasted Bunting,Martin St-Michel,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/268765,gobbun1/XC268765.ogg
gobwea1,[],"['adult', 'male', 'sex uncertain', 'song']",1.4168,103.7287,Ploceus jacksoni,Golden-backed Weaver,Kim Chuah Lim,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,2.5,https://www.xeno-canto.org/642423,gobwea1/XC642423.ogg
laudov1,[],"['male', 'song']",39.1382,66.8735,Streptopelia senegalensis,Laughing Dove,Albert Lastukhin,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,2.5,https://www.xeno-canto.org/185511,laudov1/XC185511.ogg
bswdov1,[],['song'],5.35,-1.38,Turtur afer,Blue-spotted Wood-Dove,Patrik Åberg,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/399994,bswdov1/XC399994.ogg
rufcha2,[],[''],9.541,39.992,Argya rubiginosa,Rufous Chatterer,Andrew Spencer,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://xeno-canto.org/209979,rufcha2/XC209979.ogg
litegr,[],[''],18.1675,102.1811,Egretta garzetta,Little Egret,Bram Piot,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://xeno-canto.org/711676,litegr/XC711676.ogg
slcbou1,[],['song'],-3.4157,38.65,Laniarius funebris,Slate-colored Boubou,Richard Dunn,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/178858,slcbou1/XC178858.ogg
afgfly1,[],['call'],8.92,40.043,Bradornis microrhynchus,African Gray Flycatcher,Andrew Spencer,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/267774,afgfly1/XC267774.ogg
blacuc1,[],['call'],-33.8881,24.9599,Cuculus clamosus,Black Cuckoo,W.J. Rossouw,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,0.0,https://www.xeno-canto.org/390504,blacuc1/XC390504.ogg
blwlap1,[],['song'],-25.1189,30.5388,Vanellus melanopterus,Black-winged Lapwing,Dawie de Swardt,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.0,https://www.xeno-canto.org/349017,blwlap1/XC349017.ogg
hoopoe,[],[''],-29.153,26.1924,Upupa epops,Eurasian Hoopoe,Dawie de Swardt,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://xeno-canto.org/746793,hoopoe/XC746793.ogg
malkin1,"['afrjac1', 'combul2']","['call', 'song']",12.8729,-14.9542,Corythornis cristatus,Malachite Kingfisher,Bram Piot,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,https://www.xeno-canto.org/371182,malkin1/XC371182.ogg
yelbis1,"['combul2', 'reedov1', 'tafpri1']","['adult', 'call', 'male']",-3.378,36.948,Euplectes capensis,Yellow Bishop,paulo kivuyo,Creative Commons Attribution-ShareAlike 4.0,3.5,https://www.xeno-canto.org/634554,yelbis1/XC634554.ogg
butapa1,[],"['call', 'song']",0.4875,30.3462,Apalis rufogularis,Buff-throated Apalis,Martin St-Michel,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.0,https://www.xeno-canto.org/286527,butapa1/XC286527.ogg
gyhbus1,[],['call'],-33.3128,26.1365,Malaconotus blanchoti,Gray-headed Bushshrike,Lynette Rudman,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/251907,gyhbus1/XC251907.ogg
klacuc1,[],['song'],-0.5636,34.1117,Chrysococcyx klaas,Klaas's Cuckoo,James Bradley,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/537136,klacuc1/XC537136.ogg
bkfruw1,[],['song'],0.2081,34.8928,Bathmocercus rufus,Black-faced Rufous-Warbler,Simon Carter,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/312209,bkfruw1/XC312209.ogg
didcuc1,"['egygoo', 'norfis1']",['song'],-0.6675,36.3188,Chrysococcyx caprius,Dideric Cuckoo,Rory Nefdt,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,2.5,https://www.xeno-canto.org/206032,didcuc1/XC206032.ogg
norcro1,[],"['adult', 'song']",9.6079,-5.326,Sylvietta brachyura,Northern Crombec,Étienne Leroy,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/513782,norcro1/XC513782.ogg
eubeat1,['cohmar1'],"['call', 'female', 'flight call', 'male']",37.3823,-6.1363,Merops apiaster,European Bee-eater,José Carlos Sires,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,0.0,https://www.xeno-canto.org/392184,eubeat1/XC392184.ogg
whhsaw1,[],['flight call'],2.21,31.562,Psalidoprocne albiceps,White-headed Sawwing,Martin St-Michel,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/289267,whhsaw1/XC289267.ogg
spewea1,['rindov'],['call'],-33.601,26.7084,Ploceus ocularis,Spectacled Weaver,Tim Cockcroft,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,0.0,https://www.xeno-canto.org/377203,spewea1/XC377203.ogg
spmthr1,[],[''],-2.814,37.5034,Cichladusa guttata,Spotted Morning-Thrush,isaac kilusu,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://xeno-canto.org/728966,spmthr1/XC728966.ogg
marsto1,[],['call'],-8.1871,36.6653,Leptoptilos crumenifer,Marabou Stork,Louis A. Hansen,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.0,https://www.xeno-canto.org/517413,marsto1/XC517413.ogg
hamerk1,[],"['adult', 'call', 'flight call', 'sex uncertain']",7.0584,38.4695,Scopus umbretta,Hamerkop,Barry Edmonston,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,https://www.xeno-canto.org/530964,hamerk1/XC530964.ogg
wbrcha2,[],['song'],-3.8923,36.0127,Cossypha heuglini,White-browed Robin-Chat,Bernard BOUSQUET,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.0,https://www.xeno-canto.org/428383,wbrcha2/XC428383.ogg
